cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
139403	Organohalogen compounds	Aryl halides	Aryl fluorides	unclassified	Aryl fluorides
50137	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
1491	Organoheterocyclic compounds	Pyridines and derivatives	unclassified	unclassified	Pyridines and derivatives
18040	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
33488	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
152311	Organosulfur compounds	Sulfonyls	unclassified	unclassified	Sulfonyls
8553	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	N-acyl-alpha amino acids and derivatives
118937	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid amides	Secondary carboxylic acid amides
84578	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Diterpene glycosides	Diterpene glycosides
74805	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
63332	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
141788	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	Aralkylamines
255695	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
7974	Organoheterocyclic compounds	Diazinanes	Piperazines	N-arylpiperazines	N-arylpiperazines
18134	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes	unclassified	Nitrobenzenes
227259	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Triacylglycerols
205198	Organoheterocyclic compounds	Azoles	Imidazoles	unclassified	Imidazoles
91963	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Aminopyrimidines and derivatives	Aminopyrimidines and derivatives
44740	Organohalogen compounds	Aryl halides	Aryl fluorides	unclassified	Aryl fluorides
230190	Organohalogen compounds	Alkyl halides	Alkyl fluorides	unclassified	Alkyl fluorides
248639	Organosulfur compounds	Thioethers	Aryl thioethers	Alkylarylthioethers	Alkylarylthioethers
38701	Organohalogen compounds	Aryl halides	Aryl chlorides	unclassified	Aryl chlorides
42250	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
262093	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
123816	Organic acids and derivatives	Boronic acid derivatives	Boronic acids	unclassified	Boronic acids
25941	unclassified	unclassified	unclassified	unclassified	unclassified
105779	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
110159	Organic nitrogen compounds	Organonitrogen compounds	Amines	Alkanolamines	1,2-aminoalcohols
191259	Benzenoids	Phenol ethers	Anisoles	unclassified	Anisoles
20340	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
91401	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
