cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
121692	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acid esters
32677	Lipids and lipid-like molecules	Steroids and steroid derivatives	unclassified	unclassified	Steroids and steroid derivatives
34883	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	Carboxylic acid esters	Carboxylic acid esters
72749	Phenylpropanoids and polyketides	Flavonoids	Biflavonoids and polyflavonoids	unclassified	Biflavonoids and polyflavonoids
187819	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
87507	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	Alkyl glycosides	Alkyl glycosides
34394	Organic acids and derivatives	Boronic acid derivatives	unclassified	unclassified	Boronic acid derivatives
39583	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid O-glycosides	Flavonoid-3-O-glycosides
54647	Nucleosides, nucleotides, and analogues	Purine nucleosides	unclassified	unclassified	Purine nucleosides
180834	unclassified	unclassified	unclassified	unclassified	unclassified
73144	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Hydroxybenzoic acid derivatives
84905	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Triterpene glycosides	Triterpene saponins
15212	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
35178	Phenylpropanoids and polyketides	Flavonoids	Flavones	Flavonols	Flavonols
18275	Benzenoids	Benzene and substituted derivatives	Benzenesulfonyl compounds	unclassified	Benzenesulfonyl compounds
25627	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavan-3-ols	Catechins
32256	Organic oxygen compounds	Organooxygen compounds	Ethers	Alkyl aryl ethers	Alkyl aryl ethers
